Message,Accuracy,Goal X,Goal Y
4,0.38793695,0,4
17,0.9150103,3,2
12,0.008224811,2,2
3,0.010281014,0,3
16,0.008224811,3,1
13,0.015078821,2,3
5,0.0061686086,1,0
9,0.012337217,1,4
9,0.01439342,1,4
5,0.0061686086,1,0
18,0.010281014,3,3
6,0.015078821,1,1
2,0.012337217,0,2
20,0.01370802,4,0
5,0.019191228,1,0
1,0.011651817,0,1
13,0.011651817,2,3
10,0.015078821,2,0
4,0.3721727,0,4
2,0.010281014,0,2
17,0.6394791,3,2
3,0.0041124057,0,3
9,0.018505827,1,4
22,0.008910213,4,2
15,0.32145306,3,0
2,0.018505827,0,2
10,0.013022618,2,0
9,0.008224811,1,4
16,0.009595614,3,1
5,0.008910213,1,0
4,0.38930774,0,4
22,0.00685401,4,2
4,0.4132968,0,4
5,0.010281014,1,0
3,0.0061686086,0,3
24,0.010281014,4,4
10,0.018505827,2,0
16,0.0109664155,3,1
0,0.009595614,0,0
2,0.019191228,0,2
20,0.008910213,4,0
24,0.015078821,4,4
19,0.008910213,3,4
0,0.01370802,0,0
8,0.012337217,1,3
14,0.11309116,2,4
1,0.013022618,0,1
20,0.0109664155,4,0
9,0.013022618,1,4
11,0.008224811,2,1
1,0.015078821,0,1
4,0.4180946,0,4
16,0.010281014,3,1
1,0.011651817,0,1
17,0.62988347,3,2
0,0.017820425,0,0
3,0.0109664155,0,3
15,0.32693627,3,0
20,0.0075394106,4,0
20,0.0075394106,4,0
16,0.0109664155,3,1
14,0.113776565,2,4
10,0.020562029,2,0
22,0.0075394106,4,2
8,0.025359835,1,3
17,0.601782,3,2
23,0.015764222,4,3
1,0.023989035,0,1
15,0.29883483,3,0
3,0.003427005,0,3
2,0.013022618,0,2
3,0.00685401,0,3
18,0.012337217,3,3
24,0.015764222,4,4
24,0.016449623,4,4
0,0.013022618,0,0
24,0.021932831,4,4
12,0.0061686086,2,2
6,0.008910213,1,1
7,0.123372175,1,2
22,0.004797807,4,2
18,0.015764222,3,3
7,0.10760795,1,2
3,0.00685401,0,3
20,0.01439342,4,0
15,0.31871146,3,0
5,0.0027416039,1,0
6,0.0109664155,1,1
0,0.017820425,0,0
21,0.0020562029,4,1
21,0.017135024,4,1
4,0.38862234,0,4
15,0.36463332,3,0
24,0.012337217,4,4
0,0.01370802,0,0
19,0.0109664155,3,4
7,0.12063057,1,2
13,0.010281014,2,3
24,0.008224811,4,4
10,0.023303634,2,0
