loss,step
4.556167,0
4.4474335,1
4.2985315,2
4.218022,3
4.0382705,4
3.8919344,5
3.8503273,6
3.760597,7
3.5708737,8
3.4576023,9
3.3252656,10
3.2929635,11
3.1627367,12
3.0125666,13
2.9092972,14
2.800932,15
2.694935,16
2.5914452,17
2.4635713,18
2.398707,19
2.2457213,20
2.1911528,21
2.031956,22
1.9656643,23
1.8955419,24
1.776857,25
1.6887095,26
1.6350741,27
1.5640262,28
1.4833407,29
1.417732,30
1.3583859,31
1.3134952,32
1.2752223,33
1.2363232,34
1.1663765,35
1.1510259,36
1.0751134,37
1.0547742,38
0.9959246,39
0.9785564,40
0.93404436,41
0.89127266,42
0.8777702,43
0.843946,44
0.81411654,45
0.78408676,46
0.73981524,47
0.718114,48
0.6984665,49
0.67204994,50
0.6419019,51
0.6219227,52
0.59274155,53
0.5729415,54
0.54093087,55
0.54568666,56
0.50534195,57
0.49594525,58
0.4617811,59
0.4478876,60
0.45195848,61
0.41622815,62
0.39582077,63
0.38358504,64
0.37010062,65
0.34209347,66
0.33594197,67
0.32637632,68
0.30759022,69
0.30136135,70
0.28573072,71
0.26976702,72
0.25953904,73
0.25816718,74
0.22363864,75
0.23391457,76
0.23234427,77
0.21815804,78
0.19828668,79
0.19534272,80
0.19007646,81
0.17599799,82
0.16944923,83
0.16143662,84
0.15704358,85
0.14603569,86
0.14438961,87
0.13725512,88
0.13686503,89
0.13160464,90
0.122672,91
0.12251617,92
0.11548023,93
0.11166401,94
0.10641561,95
0.105117686,96
0.09869334,97
0.09111324,98
0.10006872,99
0.09012052,100
0.08464859,101
0.08592604,102
0.07964136,103
0.078298055,104
0.07738133,105
0.07339655,106
0.07151916,107
0.07170737,108
0.069737256,109
0.06575793,110
0.06539147,111
0.064091526,112
0.061347112,113
0.061309747,114
0.05829892,115
0.059843678,116
0.054029517,117
0.0529599,118
0.05203367,119
0.05050223,120
0.049275026,121
0.04933338,122
0.04805782,123
0.04684024,124
0.04478207,125
0.04284573,126
0.042960647,127
0.04180848,128
0.03959074,129
0.038908523,130
0.03918305,131
0.037787423,132
0.036369845,133
0.037021033,134
0.036554065,135
0.034052864,136
0.03386889,137
0.034864727,138
0.033393197,139
0.03235276,140
0.03254449,141
0.030154949,142
0.03002784,143
0.028896226,144
0.0296575,145
0.02974028,146
0.028632173,147
0.027115496,148
0.027969865,149
0.02710706,150
0.026923953,151
0.02659625,152
0.02761733,153
0.025017912,154
0.024545116,155
0.025320578,156
0.023951193,157
0.023912005,158
0.02274883,159
0.022946032,160
0.022767976,161
0.02279988,162
0.02200689,163
0.021797309,164
0.020860797,165
0.021054136,166
0.019446341,167
0.020816276,168
0.019830005,169
0.019372439,170
0.01937624,171
0.019253274,172
0.017659144,173
0.017968982,174
0.018662483,175
0.01819543,176
0.017937496,177
0.017327856,178
0.01764108,179
0.01635204,180
0.017043274,181
0.016508844,182
0.016124595,183
0.015765322,184
0.0153206745,185
0.015579254,186
0.015779901,187
0.015274631,188
0.015027176,189
0.015179514,190
0.015282872,191
0.0141315125,192
0.014773679,193
0.014645382,194
0.0141144935,195
0.01386515,196
0.0139311785,197
0.013099904,198
0.012783848,199
0.013564227,200
0.012798718,201
0.013300458,202
0.013532912,203
0.012568516,204
0.012511896,205
0.012465831,206
0.012352365,207
0.011393814,208
0.012305285,209
0.01240201,210
0.0112793865,211
0.011500845,212
0.011206494,213
0.01119889,214
0.01132074,215
0.011028114,216
0.011406291,217
0.010721552,218
0.011302902,219
0.010468946,220
0.010872747,221
0.010249758,222
0.010326518,223
0.010240013,224
0.009816315,225
0.009861485,226
0.009631124,227
0.009851779,228
0.009226045,229
0.009644256,230
0.009589677,231
0.009465248,232
0.009113141,233
0.00955042,234
0.009302663,235
0.009140133,236
0.008975164,237
0.0089214835,238
0.00872681,239
0.008701266,240
0.008546821,241
0.008292736,242
0.008727055,243
0.008364009,244
0.008281032,245
0.008392988,246
0.008411389,247
0.00812133,248
0.007973105,249
0.007797218,250
0.007892009,251
0.008123319,252
0.007838174,253
0.007901731,254
0.007549926,255
0.008045863,256
0.0074348943,257
0.007177221,258
0.0073108,259
0.0075609344,260
0.0073828907,261
0.0074177585,262
0.0069161616,263
0.0070849373,264
0.0070262505,265
0.0070342915,266
0.0073061967,267
0.0064974674,268
0.0070885597,269
0.007566342,270
0.0070433007,271
0.0064895875,272
0.0068589374,273
0.0065685525,274
0.006525117,275
0.006062199,276
0.006390669,277
0.006102088,278
0.006354487,279
0.006338621,280
0.006232242,281
0.0060855323,282
0.006147711,283
0.0059926123,284
0.006067157,285
0.005809456,286
0.005956084,287
0.0058124643,288
0.005722785,289
0.005763575,290
0.006343635,291
0.005515908,292
0.0054419697,293
0.005608295,294
0.0053925742,295
0.005432293,296
0.005500265,297
0.0055953525,298
0.0053471085,299
